Iteration,Num_Features,Feature_Indices,Accuracy
7,7,"[9, 48, 32, 33, 36, 8, 3]",82.1
7,7,"[9, 48, 32, 33, 36, 8, 4]",82.9
7,7,"[9, 48, 32, 33, 36, 8, 5]",81.9
7,7,"[9, 48, 32, 33, 36, 8, 6]",82.1
7,7,"[9, 48, 32, 33, 36, 8, 7]",82.8
7,7,"[9, 48, 32, 33, 36, 8, 10]",82.7
7,7,"[9, 48, 32, 33, 36, 8, 11]",84.7
7,7,"[9, 48, 32, 33, 36, 8, 12]",81.5
7,7,"[9, 48, 32, 33, 36, 8, 13]",82.3
7,7,"[9, 48, 32, 33, 36, 8, 14]",82.2
7,7,"[9, 48, 32, 33, 36, 8, 15]",83.1
7,7,"[9, 48, 32, 33, 36, 8, 16]",82.7
7,7,"[9, 48, 32, 33, 36, 8, 17]",82.0
7,7,"[9, 48, 32, 33, 36, 8, 18]",81.0
7,7,"[9, 48, 32, 33, 36, 8, 19]",81.4
7,7,"[9, 48, 32, 33, 36, 8, 20]",81.9
7,7,"[9, 48, 32, 33, 36, 8, 21]",83.7
7,7,"[9, 48, 32, 33, 36, 8, 22]",83.5
7,7,"[9, 48, 32, 33, 36, 8, 23]",84.4
7,7,"[9, 48, 32, 33, 36, 8, 24]",84.1
7,7,"[9, 48, 32, 33, 36, 8, 25]",80.9
7,7,"[9, 48, 32, 33, 36, 8, 26]",83.3
7,7,"[9, 48, 32, 33, 36, 8, 27]",82.5
7,7,"[9, 48, 32, 33, 36, 8, 28]",80.9
7,7,"[9, 48, 32, 33, 36, 8, 29]",81.8
7,7,"[9, 48, 32, 33, 36, 8, 30]",80.4
7,7,"[9, 48, 32, 33, 36, 8, 31]",82.9
7,7,"[9, 48, 32, 33, 36, 8, 34]",80.6
7,7,"[9, 48, 32, 33, 36, 8, 35]",82.9
7,7,"[9, 48, 32, 33, 36, 8, 37]",82.7
7,7,"[9, 48, 32, 33, 36, 8, 38]",83.4
7,7,"[9, 48, 32, 33, 36, 8, 39]",82.2
7,7,"[9, 48, 32, 33, 36, 8, 40]",81.9
7,7,"[9, 48, 32, 33, 36, 8, 41]",80.3
7,7,"[9, 48, 32, 33, 36, 8, 42]",83.4
7,7,"[9, 48, 32, 33, 36, 8, 43]",82.7
7,7,"[9, 48, 32, 33, 36, 8, 44]",82.4
7,7,"[9, 48, 32, 33, 36, 8, 45]",82.4
7,7,"[9, 48, 32, 33, 36, 8, 46]",81.4
7,7,"[9, 48, 32, 33, 36, 8, 47]",82.0
7,7,"[9, 48, 32, 33, 36, 8, 49]",81.8
7,7,"[9, 48, 32, 33, 36, 8, 50]",84.5
8,8,"[9, 48, 32, 33, 36, 8, 11, 1]",80.2
8,8,"[9, 48, 32, 33, 36, 8, 11, 2]",80.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 3]",80.0
8,8,"[9, 48, 32, 33, 36, 8, 11, 4]",80.2
8,8,"[9, 48, 32, 33, 36, 8, 11, 5]",79.8
8,8,"[9, 48, 32, 33, 36, 8, 11, 6]",79.8
8,8,"[9, 48, 32, 33, 36, 8, 11, 7]",78.8
8,8,"[9, 48, 32, 33, 36, 8, 11, 10]",79.1
8,8,"[9, 48, 32, 33, 36, 8, 11, 12]",81.6
8,8,"[9, 48, 32, 33, 36, 8, 11, 13]",80.0
8,8,"[9, 48, 32, 33, 36, 8, 11, 14]",80.6
8,8,"[9, 48, 32, 33, 36, 8, 11, 15]",80.9
8,8,"[9, 48, 32, 33, 36, 8, 11, 16]",82.3
8,8,"[9, 48, 32, 33, 36, 8, 11, 17]",79.9
8,8,"[9, 48, 32, 33, 36, 8, 11, 18]",79.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 19]",81.0
8,8,"[9, 48, 32, 33, 36, 8, 11, 20]",80.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 21]",80.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 22]",80.0
8,8,"[9, 48, 32, 33, 36, 8, 11, 23]",82.9
8,8,"[9, 48, 32, 33, 36, 8, 11, 24]",80.3
8,8,"[9, 48, 32, 33, 36, 8, 11, 25]",78.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 26]",79.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 27]",82.5
8,8,"[9, 48, 32, 33, 36, 8, 11, 28]",81.0
8,8,"[9, 48, 32, 33, 36, 8, 11, 29]",81.4
8,8,"[9, 48, 32, 33, 36, 8, 11, 30]",79.4
8,8,"[9, 48, 32, 33, 36, 8, 11, 31]",80.7
8,8,"[9, 48, 32, 33, 36, 8, 11, 34]",81.6
8,8,"[9, 48, 32, 33, 36, 8, 11, 35]",80.2
8,8,"[9, 48, 32, 33, 36, 8, 11, 37]",81.5
8,8,"[9, 48, 32, 33, 36, 8, 11, 38]",80.8
8,8,"[9, 48, 32, 33, 36, 8, 11, 39]",79.0
8,8,"[9, 48, 32, 33, 36, 8, 11, 40]",79.9
8,8,"[9, 48, 32, 33, 36, 8, 11, 41]",79.5
8,8,"[9, 48, 32, 33, 36, 8, 11, 42]",81.2
8,8,"[9, 48, 32, 33, 36, 8, 11, 43]",81.4
8,8,"[9, 48, 32, 33, 36, 8, 11, 44]",80.3
8,8,"[9, 48, 32, 33, 36, 8, 11, 45]",80.2
8,8,"[9, 48, 32, 33, 36, 8, 11, 46]",82.3
8,8,"[9, 48, 32, 33, 36, 8, 11, 47]",80.8
8,8,"[9, 48, 32, 33, 36, 8, 11, 49]",80.2
8,8,"[9, 48, 32, 33, 36, 8, 11, 50]",83.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 1]",79.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 2]",79.2
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 3]",80.4
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 4]",79.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 5]",78.1
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 6]",77.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 7]",77.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 10]",78.1
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 12]",80.2
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 13]",80.1
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 14]",79.3
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 15]",79.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 16]",80.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 17]",79.4
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 18]",78.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 19]",78.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 20]",79.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 21]",78.3
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 22]",79.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 23]",80.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 24]",79.3
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 25]",78.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 26]",79.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 27]",80.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 28]",80.4
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 29]",80.5
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 30]",79.1
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 31]",78.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 34]",80.7
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 35]",81.2
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 37]",80.5
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 38]",79.7
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 39]",78.3
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 40]",78.0
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 41]",79.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 42]",80.4
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 43]",77.5
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 44]",79.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 45]",78.7
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 46]",77.6
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 47]",79.8
9,9,"[9, 48, 32, 33, 36, 8, 11, 50, 49]",78.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 1]",79.4
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 2]",78.0
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3]",80.1
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 4]",79.0
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 5]",77.1
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 6]",77.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 7]",78.5
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 10]",78.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 12]",78.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 13]",77.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 14]",77.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 15]",79.5
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 16]",78.2
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 17]",78.6
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 18]",78.4
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 19]",78.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 20]",78.3
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 21]",78.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 22]",76.6
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 23]",78.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 24]",79.3
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 25]",77.1
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 26]",78.1
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 27]",77.8
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 28]",79.8
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 29]",79.4
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 30]",78.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 31]",77.5
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 34]",77.3
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 37]",77.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 38]",77.6
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 39]",78.7
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 40]",77.0
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 41]",79.2
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 42]",78.5
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 43]",76.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 44]",79.3
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 45]",76.2
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 46]",77.9
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 47]",79.5
10,10,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 49]",78.6
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 1]",78.3
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 2]",77.7
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 4]",78.1
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 5]",77.2
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 6]",77.0
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 7]",76.1
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 10]",77.7
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 12]",78.6
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 13]",78.3
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 14]",78.6
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 15]",77.7
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 16]",78.9
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 17]",76.8
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 18]",78.2
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 19]",78.0
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 20]",78.2
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 21]",78.8
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 22]",76.7
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 23]",77.3
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 24]",77.6
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 25]",78.2
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 26]",77.9
11,11,"[9, 48, 32, 33, 36, 8, 11, 50, 35, 3, 27]",77.8
